ANO,MES,EMPRESA,ORIGEM,DESTINO
2020,4,AZU,SBAR,SBVT
2020,4,AZU,SBAR,SBVT
2020,4,AZU,SBAT,SBAE
2020,4,AZU,SBAT,SBAE
2020,4,AZU,SBAT,SBAR
2020,4,AZU,SBAT,SBBR
2020,4,AZU,SBAT,SBCF
2020,4,AZU,SBAT,SBCF
2020,4,AZU,SBAT,SBCF
2020,4,AZU,SBAT,SBCF
2020,4,AZU,SBAT,SBCF
2020,4,AZU,SBAT,SBCG
2020,4,AZU,SBAT,SBCT
2020,4,AZU,SBAT,SBCT
2020,4,AZU,SBAT,SBCT
2020,4,AZU,SBAT,SBCT
2020,4,AZU,SBAT,SBCT
2020,4,AZU,SBAT,SBCY
2020,4,AZU,SBAT,SBCY
2020,4,AZU,SBAT,SBCY
2020,4,AZU,SBAT,SBCY
2020,4,AZU,SBAT,SBCY
2020,4,AZU,SBAT,SBFL
2020,4,AZU,SBAT,SBGR
2020,4,AZU,SBAT,SBGR
2020,4,AZU,SBAT,SBJA
2020,4,AZU,SBAT,SBJP
2020,4,AZU,SBAT,SBJP
2020,4,AZU,SBAT,SBKP
2020,4,AZU,SBAT,SBPA
2020,4,AZU,SBAT,SBRP
2020,4,AZU,SBAT,SBRP
2020,4,AZU,SBAT,SBRP
2020,4,AZU,SBAT,SBSG
2020,4,AZU,SBAT,SBSM
2020,4,AZU,SBAT,SBSP
2020,4,AZU,SBAT,SBSR
2020,4,AZU,SBAT,SBUL
2020,4,AZU,SBAU,SBAR
2020,4,AZU,SBAU,SBAR
2020,4,AZU,SBAU,SBBR
2020,4,AZU,SBAU,SBBR
2020,4,AZU,SBAU,SBBR
2020,4,AZU,SBAU,SBBV
2020,4,AZU,SBAU,SBCT
2020,4,AZU,SBAU,SBCT
2020,4,AZU,SBAU,SBCY
2020,4,AZU,SBAU,SBCY
2020,4,AZU,SBAU,SBCY
2020,4,AZU,SBAU,SBEG
2020,4,AZU,SBAU,SBFL
2020,4,AZU,SBAU,SBFL
2020,4,AZU,SBAU,SBGL
2020,4,AZU,SBAU,SBGO
2020,4,AZU,SBAU,SBKP
2020,4,AZU,SBAU,SBKP
2020,4,AZU,SBAU,SBKP
2020,4,AZU,SBAU,SBKP
2020,4,AZU,SBAU,SBKP
2020,4,AZU,SBAU,SBKP
2020,4,AZU,SBAU,SBKP
2020,4,AZU,SBAU,SBKP
2020,4,AZU,SBAU,SBKP
2020,4,AZU,SBAU,SBKP
2020,4,AZU,SBAU,SBMO
2020,4,AZU,SBAU,SBMO
2020,4,AZU,SBAU,SBMO
2020,4,AZU,SBAU,SBMO
2020,4,AZU,SBAU,SBPA
2020,4,AZU,SBAU,SBPA
2020,4,AZU,SBAU,SBPJ
2020,4,AZU,SBAU,SBRF
2020,4,AZU,SBAU,SBRJ
